alias,cluster_index,cluster_name
Ruthenium complex (Ru),1,Inorganic Chemistry & Small Molecule Catalysis
Vanadium (V),7,Heterogeneous Catalysis & Materials
Chlorella,23,Environmental Engineering & Waste Management
Furanic compound,7,Heterogeneous Catalysis & Materials
Recombinant enzyme,0,Industrial Enzymes & Fungal Bioprocessing
Thermostable enzyme,11,Microbial & Algal Bioprocessing
Humin,7,Heterogeneous Catalysis & Materials
Thiamine pyrophosphate (TPP),11,Microbial & Algal Bioprocessing
Bacillus subtilis,12,Microbial Genetics & Synthetic Biology
Point mutation,6,Eukaryotic Cell Biology & Organelles
Benzyl group,1,Inorganic Chemistry & Small Molecule Catalysis
"Eicosapentaenoic acid (EPA, C20H30O2)",16,Marine & Algal Natural Products
"Docosahexaenoic acid (DHA, C22H32O2)",16,Marine & Algal Natural Products
Transgenic plant,12,Microbial Genetics & Synthetic Biology
Adipic acid (C6H10O4),18,Biochemicals & Green Chemistry
Muconic acid,18,Biochemicals & Green Chemistry
Zeolite ZSM-5,13,Industrial Chemistry & Chemical Engineering
Hydroxypropyl cellulose (HPC),7,Heterogeneous Catalysis & Materials
Enzyme molecule,11,Microbial & Algal Bioprocessing
Arthrospira (cyanobacterium),11,Microbial & Algal Bioprocessing
Dunaliella,16,Marine & Algal Natural Products
Crustacean,16,Marine & Algal Natural Products
Lignin removal,14,Agricultural Residues & Biomass Valorization
Sodium hydroxide (NaOH),13,Industrial Chemistry & Chemical Engineering
Bagasse,10,Biorefinery Feedstocks & Biomass Processing
Single-cell protein (SCP),10,Biorefinery Feedstocks & Biomass Processing
Chlamydomonas,12,Microbial Genetics & Synthetic Biology
Gene sequence,3,Protein Structure & Cell Biology
Nucleotide sequence,24,Genetic Elements & Regulatory Sequences
Butadiene (C4H6),7,Heterogeneous Catalysis & Materials
Chlorella vulgaris,14,Agricultural Residues & Biomass Valorization
Chlorella vulgaris,23,Environmental Engineering & Waste Management
2-Oxoglutarate (α-Ketoglutarate),27,Metabolic Engineering & Synthetic Biology
L-Lactate,27,Metabolic Engineering & Synthetic Biology
Methylobacterium extorquens,27,Metabolic Engineering & Synthetic Biology
Nicotinamide adenine dinucleotide (NAD+),27,Metabolic Engineering & Synthetic Biology
Sodium ion (Na+),7,Heterogeneous Catalysis & Materials
Tricarboxylic acid cycle (TCA cycle),22,Genetic Engineering Tools & Expression Systems
Carbon source,22,Genetic Engineering Tools & Expression Systems
Coral,16,Marine & Algal Natural Products
Electron acceptor,27,Metabolic Engineering & Synthetic Biology
Electron transport chain (ETC),3,Protein Structure & Cell Biology
Ferredoxin,27,Metabolic Engineering & Synthetic Biology
Glucose-6-phosphate dehydrogenase (G6PD),3,Protein Structure & Cell Biology
Insect,16,Marine & Algal Natural Products
Pyruvate,27,Metabolic Engineering & Synthetic Biology
Ruminant,10,Biorefinery Feedstocks & Biomass Processing
Electrolyte,7,Heterogeneous Catalysis & Materials
Acetonitrile (C2H3N),7,Heterogeneous Catalysis & Materials
Oxalate (C2O4^2-),7,Heterogeneous Catalysis & Materials
Short-chain fatty acid (SCFA),29,Photosynthetic Pigments & Plant/Algal Physiology
Soluble protein,15,Animal & Human Cell Models
Cyanotoxin,16,Marine & Algal Natural Products
Photosynthetic bacterium,12,Microbial Genetics & Synthetic Biology
Cylindrospermopsin,16,Marine & Algal Natural Products
Biosynthetic gene cluster (BGC),2,Genomics & Genetic Engineering
Microbial genome,2,Genomics & Genetic Engineering
Transcriptional regulator-like (TRL),17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Food product,10,Biorefinery Feedstocks & Biomass Processing
Whole cell,27,Metabolic Engineering & Synthetic Biology
Small acid-soluble spore protein (SAS),5,Electrocatalysis & CO2 Conversion
Manganese (Mn),7,Heterogeneous Catalysis & Materials
Acetal,1,Inorganic Chemistry & Small Molecule Catalysis
Aromatic chemical,7,Heterogeneous Catalysis & Materials
Dihydroxyacetone (C3H6O3),7,Heterogeneous Catalysis & Materials
Candida,11,Microbial & Algal Bioprocessing
Pichia (yeast),11,Microbial & Algal Bioprocessing
Yeast species,27,Metabolic Engineering & Synthetic Biology
Malate dehydrogenase (MDH),27,Metabolic Engineering & Synthetic Biology
Phosphofructokinase A (pfkA),22,Genetic Engineering Tools & Expression Systems
Nitrogen oxides (NOx),23,Environmental Engineering & Waste Management
Oedogonium (alga),14,Agricultural Residues & Biomass Valorization
Carbon neutral,10,Biorefinery Feedstocks & Biomass Processing
Glycerine (Glycerol),10,Biorefinery Feedstocks & Biomass Processing
Palladium on carbon (Pd/C),13,Industrial Chemistry & Chemical Engineering
Enzyme complex,12,Microbial Genetics & Synthetic Biology
Locus,2,Genomics & Genetic Engineering
Microfibril,10,Biorefinery Feedstocks & Biomass Processing
Non-cellulosic,13,Industrial Chemistry & Chemical Engineering
Nickel(II) ion (Ni2+),5,Electrocatalysis & CO2 Conversion
Copper catalyst,5,Electrocatalysis & CO2 Conversion
Copper catalyst,7,Heterogeneous Catalysis & Materials
Free fatty acid (FFA),27,Metabolic Engineering & Synthetic Biology
Galactolipid,19,Lipid Metabolism & Fatty Acid Synthesis
Nickel catalyst,5,Electrocatalysis & CO2 Conversion
Pyridinium ion,7,Heterogeneous Catalysis & Materials
Membrane,13,Industrial Chemistry & Chemical Engineering
Sucrose-phosphate synthase (SPS),16,Marine & Algal Natural Products
Ethanolamine,11,Microbial & Algal Bioprocessing
Benzaldehyde (C7H6O),13,Industrial Chemistry & Chemical Engineering
Hydroxymethyl group,7,Heterogeneous Catalysis & Materials
Cereal,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Nicotinamide adenine dinucleotide phosphate (NADPH),27,Metabolic Engineering & Synthetic Biology
Formamide,7,Heterogeneous Catalysis & Materials
Boric acid (H3BO3),13,Industrial Chemistry & Chemical Engineering
Boric acid (H3BO3),7,Heterogeneous Catalysis & Materials
Secondary product,13,Industrial Chemistry & Chemical Engineering
Secondary product,23,Environmental Engineering & Waste Management
Immobilized lipase,11,Microbial & Algal Bioprocessing
Chemical element,23,Environmental Engineering & Waste Management
Chlorine (Cl),13,Industrial Chemistry & Chemical Engineering
Triethanolamine (C6H15NO3),1,Inorganic Chemistry & Small Molecule Catalysis
Tricarboxylic acid (TCA),27,Metabolic Engineering & Synthetic Biology
Melatonin,29,Photosynthetic Pigments & Plant/Algal Physiology
Oxygen vacancy,5,Electrocatalysis & CO2 Conversion
Human genome,3,Protein Structure & Cell Biology
Xylooligosaccharide (XOS),11,Microbial & Algal Bioprocessing
Methanation,7,Heterogeneous Catalysis & Materials
"1,3-Propanediol (C3H8O2)",18,Biochemicals & Green Chemistry
Catalytic site,7,Heterogeneous Catalysis & Materials
Magnesium ion (Mg2+),0,Industrial Enzymes & Fungal Bioprocessing
Alanine (L-Ala),11,Microbial & Algal Bioprocessing
Serine (L-Ser),27,Metabolic Engineering & Synthetic Biology
Glycine (C2H5NO2),1,Inorganic Chemistry & Small Molecule Catalysis
Cellobiohydrolase,0,Industrial Enzymes & Fungal Bioprocessing
Iron complex,7,Heterogeneous Catalysis & Materials
Parasite,6,Eukaryotic Cell Biology & Organelles
Bioplastic,10,Biorefinery Feedstocks & Biomass Processing
Guaiacol,13,Industrial Chemistry & Chemical Engineering
Orthophosphate,14,Agricultural Residues & Biomass Valorization
Brønsted acid site,13,Industrial Chemistry & Chemical Engineering
Acidic catalyst,7,Heterogeneous Catalysis & Materials
Naphthene,7,Heterogeneous Catalysis & Materials
Refinery,10,Biorefinery Feedstocks & Biomass Processing
Endoplasmic reticulum (ER),6,Eukaryotic Cell Biology & Organelles
Protein modification,2,Genomics & Genetic Engineering
Protein modification,12,Microbial Genetics & Synthetic Biology
Bovine serum albumin (BSA),0,Industrial Enzymes & Fungal Bioprocessing
CO2 reduction reaction product,7,Heterogeneous Catalysis & Materials
Novozym 435 (immobilized lipase),11,Microbial & Algal Bioprocessing
Marine alga,16,Marine & Algal Natural Products
Bioproduct,12,Microbial Genetics & Synthetic Biology
Eicosapentaenoic acid (EPA),29,Photosynthetic Pigments & Plant/Algal Physiology
Oxygenated compound,13,Industrial Chemistry & Chemical Engineering
Zebrafish (Danio rerio),12,Microbial Genetics & Synthetic Biology
Nicotiana tabacum (tobacco),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Wild type,22,Genetic Engineering Tools & Expression Systems
Polyphenol,14,Agricultural Residues & Biomass Valorization
"Ascorbic acid (Vitamin C, C6H8O6)",5,Electrocatalysis & CO2 Conversion
Vitamin E (Tocopherol),16,Marine & Algal Natural Products
Operon,22,Genetic Engineering Tools & Expression Systems
Carboxylate,13,Industrial Chemistry & Chemical Engineering
Halide,7,Heterogeneous Catalysis & Materials
Gluconic acid (C6H12O7),18,Biochemicals & Green Chemistry
Glucose dehydrogenase,27,Metabolic Engineering & Synthetic Biology
Phosphorus-31 (31P),13,Industrial Chemistry & Chemical Engineering
Catechol (C6H6O2),7,Heterogeneous Catalysis & Materials
Gold catalyst (Au),7,Heterogeneous Catalysis & Materials
Fermentation product,27,Metabolic Engineering & Synthetic Biology
Municipal solid waste (MSW),23,Environmental Engineering & Waste Management
Organic fraction of municipal solid waste (OFMSW),23,Environmental Engineering & Waste Management
Zea mays (Maize),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Genetically modified organism (GMO),12,Microbial Genetics & Synthetic Biology
Formyl group,13,Industrial Chemistry & Chemical Engineering
Chemical compound,12,Microbial Genetics & Synthetic Biology
Schizosaccharomyces pombe,2,Genomics & Genetic Engineering
Regulatory protein,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Methyl tert-butyl ether (MTBE),10,Biorefinery Feedstocks & Biomass Processing
Acrylamide,1,Inorganic Chemistry & Small Molecule Catalysis
Acrylonitrile,7,Heterogeneous Catalysis & Materials
Glycol,13,Industrial Chemistry & Chemical Engineering
Glycol,7,Heterogeneous Catalysis & Materials
Biobased,18,Biochemicals & Green Chemistry
Photoreceptor,8,Photosynthesis & Light-Harvesting
Photosynthetically active radiation (PAR),29,Photosynthetic Pigments & Plant/Algal Physiology
Hexane (C6H14),14,Agricultural Residues & Biomass Valorization
Petroleum ether,14,Agricultural Residues & Biomass Valorization
Genome assembly,2,Genomics & Genetic Engineering
"2,5-Furandicarboxylic acid (FDCA)",13,Industrial Chemistry & Chemical Engineering
Cupriavidus necator (Ralstonia eutropha),22,Genetic Engineering Tools & Expression Systems
Isozyme,27,Metabolic Engineering & Synthetic Biology
Hydrolase,11,Microbial & Algal Bioprocessing
Hydrolase,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Infrared (IR),7,Heterogeneous Catalysis & Materials
Expressed sequence tag (EST),2,Genomics & Genetic Engineering
Glyoxylate,27,Metabolic Engineering & Synthetic Biology
Macrophage,16,Marine & Algal Natural Products
Regulatory sequence,12,Microbial Genetics & Synthetic Biology
Promoter region,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Target gene,27,Metabolic Engineering & Synthetic Biology
Copper-zinc (Cu/Zn),7,Heterogeneous Catalysis & Materials
Methylotrophic yeast (Pichia),12,Microbial Genetics & Synthetic Biology
Pichia pastoris (methylotrophic yeast),12,Microbial Genetics & Synthetic Biology
Vehicle,20,"Engineering, Vehicles & Process Equipment"
Ethanol plant,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Catalytically active species,1,Inorganic Chemistry & Small Molecule Catalysis
Catalytically active species,13,Industrial Chemistry & Chemical Engineering
Catalytically active species,7,Heterogeneous Catalysis & Materials
Gas phase,7,Heterogeneous Catalysis & Materials
Hydroxyl radical (•OH),5,Electrocatalysis & CO2 Conversion
Hydroxyl radical (•OH),7,Heterogeneous Catalysis & Materials
Beta-carotene,14,Agricultural Residues & Biomass Valorization
Coproduct,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Aluminum chloride (AlCl3),7,Heterogeneous Catalysis & Materials
Lignocellulosic material,10,Biorefinery Feedstocks & Biomass Processing
Palladium nanoparticle,5,Electrocatalysis & CO2 Conversion
Acinetobacter baylyi ADP1 (bacterium),27,Metabolic Engineering & Synthetic Biology
Fatty acid ethyl ester (FAEE),27,Metabolic Engineering & Synthetic Biology
Acyltransferase,19,Lipid Metabolism & Fatty Acid Synthesis
Alcohol dehydrogenase,27,Metabolic Engineering & Synthetic Biology
Alcohol dehydrogenase,22,Genetic Engineering Tools & Expression Systems
Long-chain fatty acid,1,Inorganic Chemistry & Small Molecule Catalysis
Biomass-derived product,13,Industrial Chemistry & Chemical Engineering
Adsorbate,5,Electrocatalysis & CO2 Conversion
Coding sequence (CDS),3,Protein Structure & Cell Biology
Metal species,5,Electrocatalysis & CO2 Conversion
Trichoderma reesei Rut-C30,22,Genetic Engineering Tools & Expression Systems
Catabolite,22,Genetic Engineering Tools & Expression Systems
Imidazole (C3H4N2),1,Inorganic Chemistry & Small Molecule Catalysis
Fructose (D-fructose),7,Heterogeneous Catalysis & Materials
Nanoparticle (NP),5,Electrocatalysis & CO2 Conversion
Lignin modification,11,Microbial & Algal Bioprocessing
Hydrolytic enzyme,11,Microbial & Algal Bioprocessing
Structural element,16,Marine & Algal Natural Products
Gene duplication,2,Genomics & Genetic Engineering
Genomic feature,2,Genomics & Genetic Engineering
Polyaromatic hydrocarbon (PAH),23,Environmental Engineering & Waste Management
Toxic metal,23,Environmental Engineering & Waste Management
Polyunsaturated fatty acid (PUFA),11,Microbial & Algal Bioprocessing
Surface active site,5,Electrocatalysis & CO2 Conversion
RpoS (sigma factor S),22,Genetic Engineering Tools & Expression Systems
Bacterial species,11,Microbial & Algal Bioprocessing
Ethyl lactate,7,Heterogeneous Catalysis & Materials
Luciferase (luc),17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Epitope,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Monoclonal antibody,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Synthetic genetic element,2,Genomics & Genetic Engineering
Termite,11,Microbial & Algal Bioprocessing
Malonyl-CoA,27,Metabolic Engineering & Synthetic Biology
Oligosaccharide,10,Biorefinery Feedstocks & Biomass Processing
Glucaric acid,7,Heterogeneous Catalysis & Materials
Carbon fixation,27,Metabolic Engineering & Synthetic Biology
Acid hydrolysis,10,Biorefinery Feedstocks & Biomass Processing
Acid hydrolysis,11,Microbial & Algal Bioprocessing
Cancer cell line,12,Microbial Genetics & Synthetic Biology
Saccharomyces,27,Metabolic Engineering & Synthetic Biology
Saccharomyces,12,Microbial Genetics & Synthetic Biology
Bio-based chemical,10,Biorefinery Feedstocks & Biomass Processing
Volatile fatty acid (VFA),14,Agricultural Residues & Biomass Valorization
Malondialdehyde (MDA),29,Photosynthetic Pigments & Plant/Algal Physiology
Nucleotide,27,Metabolic Engineering & Synthetic Biology
Peat,10,Biorefinery Feedstocks & Biomass Processing
"1,3-Butadiene",7,Heterogeneous Catalysis & Materials
Lactose (C12H22O11),12,Microbial Genetics & Synthetic Biology
Oxalic acid (C2H2O4),13,Industrial Chemistry & Chemical Engineering
Hydrogen sulfate (HSO4-),7,Heterogeneous Catalysis & Materials
Cellulose nanocrystal,13,Industrial Chemistry & Chemical Engineering
Petroleum-based product,10,Biorefinery Feedstocks & Biomass Processing
Cellulose nanocrystal (CNC),13,Industrial Chemistry & Chemical Engineering
Cellulose molecule,10,Biorefinery Feedstocks & Biomass Processing
"Dimethyl sulfoxide (DMSO, C2H6OS)",7,Heterogeneous Catalysis & Materials
"1,4-Dioxane",1,Inorganic Chemistry & Small Molecule Catalysis
Laccase (LCC),13,Industrial Chemistry & Chemical Engineering
Lignin–carbohydrate complex (LCC),10,Biorefinery Feedstocks & Biomass Processing
Terpenoid,18,Biochemicals & Green Chemistry
Acetyl-CoA synthetase,19,Lipid Metabolism & Fatty Acid Synthesis
Ethylenediaminetetraacetic acid (EDTA),1,Inorganic Chemistry & Small Molecule Catalysis
Salmonella enterica (bacterium),22,Genetic Engineering Tools & Expression Systems
Bacterial protein,2,Genomics & Genetic Engineering
Coenzyme,27,Metabolic Engineering & Synthetic Biology
Cysteine (C3H7NO2S),3,Protein Structure & Cell Biology
Dithiothreitol (DTT),24,Genetic Elements & Regulatory Sequences
Histone,6,Eukaryotic Cell Biology & Organelles
Horseradish (Armoracia rusticana),15,Animal & Human Cell Models
Insulin,6,Eukaryotic Cell Biology & Organelles
Mitochondrial protein,6,Eukaryotic Cell Biology & Organelles
Nitrate (NO3-),10,Biorefinery Feedstocks & Biomass Processing
Nitric oxide (NO),22,Genetic Engineering Tools & Expression Systems
Prokaryote,12,Microbial Genetics & Synthetic Biology
Propionate,27,Metabolic Engineering & Synthetic Biology
Trifluoroacetic acid (TFA),11,Microbial & Algal Bioprocessing
Trifluoroacetic acid (TFA),29,Photosynthetic Pigments & Plant/Algal Physiology
Escherichia coli cell,22,Genetic Engineering Tools & Expression Systems
Trypsin,15,Animal & Human Cell Models
Cultured cell,16,Marine & Algal Natural Products
Metabolic enzyme,2,Genomics & Genetic Engineering
Transcriptional regulator,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Methyl oleate,13,Industrial Chemistry & Chemical Engineering
Ethyl ester,13,Industrial Chemistry & Chemical Engineering
Plant residue,10,Biorefinery Feedstocks & Biomass Processing
Hydrodeoxygenation,7,Heterogeneous Catalysis & Materials
Attenuated total reflectance (ATR),1,Inorganic Chemistry & Small Molecule Catalysis
Diacylglycerol acyltransferase (DGAT),19,Lipid Metabolism & Fatty Acid Synthesis
Diacylglycerol acyltransferase 1 (DGAT1),19,Lipid Metabolism & Fatty Acid Synthesis
Diacylglycerol acyltransferase 2 (DGAT2),19,Lipid Metabolism & Fatty Acid Synthesis
Fatty acid synthase (FAS),27,Metabolic Engineering & Synthetic Biology
Pyruvate dehydrogenase (PDH),3,Protein Structure & Cell Biology
Acetyl-CoA carboxylase,27,Metabolic Engineering & Synthetic Biology
Acyl chain,19,Lipid Metabolism & Fatty Acid Synthesis
Acyl-CoA,19,Lipid Metabolism & Fatty Acid Synthesis
Chloroplast envelope,6,Eukaryotic Cell Biology & Organelles
Cytosol,2,Genomics & Genetic Engineering
Isoform,2,Genomics & Genetic Engineering
Membrane lipid,19,Lipid Metabolism & Fatty Acid Synthesis
Phosphatidic acid (PA),19,Lipid Metabolism & Fatty Acid Synthesis
Phosphatidylcholine (PC),19,Lipid Metabolism & Fatty Acid Synthesis
Ricinoleic acid,27,Metabolic Engineering & Synthetic Biology
Thioredoxin,24,Genetic Elements & Regulatory Sequences
Acyl carrier protein (ACP),19,Lipid Metabolism & Fatty Acid Synthesis
Phycocyanin (PC),13,Industrial Chemistry & Chemical Engineering
Homologous gene,22,Genetic Engineering Tools & Expression Systems
Hydroxylase,27,Metabolic Engineering & Synthetic Biology
Manure,23,Environmental Engineering & Waste Management
Calvin–Benson–Bassham cycle,8,Photosynthesis & Light-Harvesting
Formate dehydrogenase,13,Industrial Chemistry & Chemical Engineering
Phosphoribulokinase (PRK),27,Metabolic Engineering & Synthetic Biology
Ectoine,27,Metabolic Engineering & Synthetic Biology
Regulatory element,2,Genomics & Genetic Engineering
Regulatory region,2,Genomics & Genetic Engineering
Transcription start site,22,Genetic Engineering Tools & Expression Systems
Shewanella oneidensis (bacterium),27,Metabolic Engineering & Synthetic Biology
Chloroform (CHCl3),14,Agricultural Residues & Biomass Valorization
Isopropanol (C3H8O),1,Inorganic Chemistry & Small Molecule Catalysis
Quantitative trait locus (QTL),2,Genomics & Genetic Engineering
Protein molecule,21,Protein Complexes & Molecular Interactions
Potassium chloride (KCl),13,Industrial Chemistry & Chemical Engineering
Poplar (Populus),11,Microbial & Algal Bioprocessing
Plastoquinone,8,Photosynthesis & Light-Harvesting
Thylakoid membrane,6,Eukaryotic Cell Biology & Organelles
Tocopherol (Vitamin E),4,Plant Cell Wall Enzymes & Carbohydrate Processing
d-Limonene,11,Microbial & Algal Bioprocessing
Flavonoid,12,Microbial Genetics & Synthetic Biology
Partial replacement,23,Environmental Engineering & Waste Management
Accessory enzyme,11,Microbial & Algal Bioprocessing
Xylanase,0,Industrial Enzymes & Fungal Bioprocessing
Chemical fuel,7,Heterogeneous Catalysis & Materials
Hydrogen chloride (HCl),23,Environmental Engineering & Waste Management
Maleic acid,1,Inorganic Chemistry & Small Molecule Catalysis
Nitric acid (HNO3),13,Industrial Chemistry & Chemical Engineering
Phycocyanin,16,Marine & Algal Natural Products
Phycoerythrin,29,Photosynthetic Pigments & Plant/Algal Physiology
Biochar product,14,Agricultural Residues & Biomass Valorization
Base site,13,Industrial Chemistry & Chemical Engineering
Lewis acid site,13,Industrial Chemistry & Chemical Engineering
Ash,23,Environmental Engineering & Waste Management
Chlorine (Cl2),5,Electrocatalysis & CO2 Conversion
Green alga,16,Marine & Algal Natural Products
Escherichia coli (bacterium),2,Genomics & Genetic Engineering
Trichoderma reesei (fungus),12,Microbial Genetics & Synthetic Biology
Saccharomyces cerevisiae (yeast),0,Industrial Enzymes & Fungal Bioprocessing
ADP-glucose pyrophosphorylase (AGP),29,Photosynthetic Pigments & Plant/Algal Physiology
Pectic substance,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Yarrowia (yeast),12,Microbial Genetics & Synthetic Biology
Yarrowia lipolytica,12,Microbial Genetics & Synthetic Biology
Protoplast,15,Animal & Human Cell Models
Mononuclear complex,1,Inorganic Chemistry & Small Molecule Catalysis
CO2 insertion,7,Heterogeneous Catalysis & Materials
Calcium ion (Ca2+),22,Genetic Engineering Tools & Expression Systems
Cytochrome c,3,Protein Structure & Cell Biology
Intracellular enzyme,11,Microbial & Algal Bioprocessing
Menaquinone (Vitamin K2),27,Metabolic Engineering & Synthetic Biology
Purine,22,Genetic Engineering Tools & Expression Systems
Oxidase,11,Microbial & Algal Bioprocessing
Transporter,22,Genetic Engineering Tools & Expression Systems
Genetic determinant,6,Eukaryotic Cell Biology & Organelles
Xenobiotic,18,Biochemicals & Green Chemistry
Starch granule,4,Plant Cell Wall Enzymes & Carbohydrate Processing
ADP-glucose pyrophosphorylase (AGPase),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Vertebrate,2,Genomics & Genetic Engineering
Transmembrane domain,24,Genetic Elements & Regulatory Sequences
p-Xylene,7,Heterogeneous Catalysis & Materials
Biodiesel plant,10,Biorefinery Feedstocks & Biomass Processing
Grease,23,Environmental Engineering & Waste Management
Fructose-1-phosphate,22,Genetic Engineering Tools & Expression Systems
6-Phosphatase,22,Genetic Engineering Tools & Expression Systems
Intracellular metabolite,27,Metabolic Engineering & Synthetic Biology
Micronutrient,10,Biorefinery Feedstocks & Biomass Processing
Polyhydroxybutyrate (PHB),27,Metabolic Engineering & Synthetic Biology
Chemical product,18,Biochemicals & Green Chemistry
Metalloporphyrin,5,Electrocatalysis & CO2 Conversion
Physicochemical property,13,Industrial Chemistry & Chemical Engineering
Ribosome binding site,27,Metabolic Engineering & Synthetic Biology
Candida guilliermondii (yeast),11,Microbial & Algal Bioprocessing
Bioreduction,7,Heterogeneous Catalysis & Materials
Lignocellulose hydrolysate,11,Microbial & Algal Bioprocessing
Alcohol oxidase (AOX),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Thalassiosira pseudonana,16,Marine & Algal Natural Products
Lactic acid bacterium,10,Biorefinery Feedstocks & Biomass Processing
Probiotic,12,Microbial Genetics & Synthetic Biology
Rod,11,Microbial & Algal Bioprocessing
Solute,16,Marine & Algal Natural Products
Codon,12,Microbial Genetics & Synthetic Biology
Epoxide hydrolase,11,Microbial & Algal Bioprocessing
Petroleum product,18,Biochemicals & Green Chemistry
Waste product,10,Biorefinery Feedstocks & Biomass Processing
Waste product,11,Microbial & Algal Bioprocessing
Cellulose I,10,Biorefinery Feedstocks & Biomass Processing
Cellulose II,10,Biorefinery Feedstocks & Biomass Processing
Hydride,7,Heterogeneous Catalysis & Materials
Photosynthetic electron transport chain,8,Photosynthesis & Light-Harvesting
Chemical mutagenesis,11,Microbial & Algal Bioprocessing
Adenosine monophosphate (AMP),24,Genetic Elements & Regulatory Sequences
Carbon chain,1,Inorganic Chemistry & Small Molecule Catalysis
Dimer,1,Inorganic Chemistry & Small Molecule Catalysis
Photosystem,8,Photosynthesis & Light-Harvesting
Marker gene,2,Genomics & Genetic Engineering
Marker gene,12,Microbial Genetics & Synthetic Biology
"Cobalt(II,III) oxide (Co3O4)",5,Electrocatalysis & CO2 Conversion
Zeolite H-ZSM-5,13,Industrial Chemistry & Chemical Engineering
Magnesium oxide (MgO),13,Industrial Chemistry & Chemical Engineering
Penicillium (fungus),12,Microbial Genetics & Synthetic Biology
Penicillin,12,Microbial Genetics & Synthetic Biology
Pentane (C5H12),7,Heterogeneous Catalysis & Materials
Persistent organic pollutant (POP),5,Electrocatalysis & CO2 Conversion
Foliar application,14,Agricultural Residues & Biomass Valorization
Sludge,23,Environmental Engineering & Waste Management
Calvin cycle,27,Metabolic Engineering & Synthetic Biology
Phaeodactylum tricornutum (diatom),16,Marine & Algal Natural Products
Thalassiosira pseudonana (microalga),29,Photosynthetic Pigments & Plant/Algal Physiology
Glycerate,7,Heterogeneous Catalysis & Materials
Unicellular alga,12,Microbial Genetics & Synthetic Biology
Caproic acid (C6:0),11,Microbial & Algal Bioprocessing
Catalytically active site,5,Electrocatalysis & CO2 Conversion
Chlorophyte (green algae),8,Photosynthesis & Light-Harvesting
Cyanobacteria species,11,Microbial & Algal Bioprocessing
Celluclast 1.5L (enzyme),0,Industrial Enzymes & Fungal Bioprocessing
Beta-glucosidase,11,Microbial & Algal Bioprocessing
Mannanase,0,Industrial Enzymes & Fungal Bioprocessing
Inducible promoter,12,Microbial Genetics & Synthetic Biology
Carbon metabolism,27,Metabolic Engineering & Synthetic Biology
6-Bisphosphate aldolase,27,Metabolic Engineering & Synthetic Biology
Photorespiration,8,Photosynthesis & Light-Harvesting
ADP-glucose pyrophosphorylase,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Alkyl levulinate,7,Heterogeneous Catalysis & Materials
Flavin adenine dinucleotide (FAD),9,Metabolic Enzymes & Cofactors
Silicon (Si),23,Environmental Engineering & Waste Management
Ash-forming element,23,Environmental Engineering & Waste Management
Nannochloropsis,16,Marine & Algal Natural Products
Ortholog,2,Genomics & Genetic Engineering
16S ribosomal RNA,11,Microbial & Algal Bioprocessing
L-DOPA (Levodopa),27,Metabolic Engineering & Synthetic Biology
Ergosterol (C28H44O),27,Metabolic Engineering & Synthetic Biology
Whole genome,12,Microbial Genetics & Synthetic Biology
Organosolv process,10,Biorefinery Feedstocks & Biomass Processing
Alkene,7,Heterogeneous Catalysis & Materials
Carbon monoxide dehydrogenase (CODH),7,Heterogeneous Catalysis & Materials
Nanocatalyst,7,Heterogeneous Catalysis & Materials
Glycosyl hydrolase,11,Microbial & Algal Bioprocessing
Copper(I) oxide (Cu2O),5,Electrocatalysis & CO2 Conversion
Gene regulatory network,2,Genomics & Genetic Engineering
Nanoparticle,5,Electrocatalysis & CO2 Conversion
Glutamate dehydrogenase (GDH),22,Genetic Engineering Tools & Expression Systems
Cellulose chain,10,Biorefinery Feedstocks & Biomass Processing
3-Butanediol (C4H10O2),27,Metabolic Engineering & Synthetic Biology
Pathogenic bacterium,12,Microbial Genetics & Synthetic Biology
Desmodesmus,11,Microbial & Algal Bioprocessing
Ferrous ion (Fe2+),14,Agricultural Residues & Biomass Valorization
Xylene,13,Industrial Chemistry & Chemical Engineering
Copper(II) oxide (CuO),5,Electrocatalysis & CO2 Conversion
Monophenol,13,Industrial Chemistry & Chemical Engineering
Isosorbide,7,Heterogeneous Catalysis & Materials
Ethane (C2H6),5,Electrocatalysis & CO2 Conversion
CRISPR-associated protein 9 (Cas9),12,Microbial Genetics & Synthetic Biology
Biotechnology,10,Biorefinery Feedstocks & Biomass Processing
Propylene carbonate (C4H6O3),13,Industrial Chemistry & Chemical Engineering
